model,receipt,parsed,n_gt_items,n_pred_items,item_precision,item_recall,item_f1,name_cer,qty_acc,unit_price_acc,total_price_acc,item_exact_rate,subtotal_ok,charges_recall,total_ok,consistent
DeepSeek (deepseek-flash),nota_01,True,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,False,True
DeepSeek (deepseek-flash),nota_02,True,2,2,1.0,1.0,1.0,0.03125,1.0,1.0,1.0,1.0,True,1.0,False,True
DeepSeek (deepseek-flash),nota_03,True,3,3,1.0,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,0.6666666666666666,True,1.0,True,True
DeepSeek (deepseek-flash),nota_04,True,11,11,1.0,1.0,1.0,0.01363636363636364,1.0,1.0,1.0,1.0,True,1.0,True,False
DeepSeek (deepseek-flash),nota_05,True,3,3,1.0,1.0,1.0,0.08514492753623189,1.0,1.0,0.0,0.0,True,1.0,True,False
DeepSeek (deepseek-flash),nota_06,True,22,22,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5758145363408521,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.0,False,0.0,True,False
DeepSeek (deepseek-flash),nota_07,True,3,3,1.0,1.0,1.0,0.03788456648868548,1.0,1.0,1.0,1.0,True,1.0,True,False
DeepSeek (deepseek-flash),nota_08,True,1,6,0.16666666666666666,1.0,0.2857142857142857,0.0,1.0,1.0,1.0,1.0,False,1.0,True,True
DeepSeek (deepseek-flash),nota_09,True,2,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,False,1.0,True,True
DeepSeek (deepseek-flash),nota_10,True,3,4,0.75,1.0,0.8571428571428571,0.06060606060606061,1.0,1.0,1.0,0.6666666666666666,True,1.0,True,False
DeepSeek (deepseek-flash),nota_11,True,10,9,1.0,0.9,0.9473684210526316,0.07190170940170941,0.8,0.8,0.8,0.6,False,0.0,True,False
DeepSeek (deepseek-flash),nota_12,True,3,6,0.5,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,True,1.0,True,True
DeepSeek (deepseek-flash),nota_13,True,4,4,1.0,1.0,1.0,0.2571428571428571,1.0,1.0,1.0,0.25,True,1.0,True,True
DeepSeek (deepseek-flash),nota_14,True,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.0,False,True
DeepSeek (deepseek-flash),nota_15,True,4,4,1.0,1.0,1.0,0.2738095238095238,1.0,0.0,1.0,0.25,True,1.0,True,True
DeepSeek (deepseek-flash),nota_16,True,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,True,True
DeepSeek (deepseek-flash),nota_17,True,2,2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.5,True,1.0,True,True
