model,receipt,run,seconds,success,error
DeepSeek (deepseek-flash),nota_01,1,1.649721750000026,True,
DeepSeek (deepseek-flash),nota_02,1,1.4652799170003163,True,
DeepSeek (deepseek-flash),nota_03,1,1.6143171660000917,True,
DeepSeek (deepseek-flash),nota_04,1,2.371525666999787,True,
DeepSeek (deepseek-flash),nota_05,1,1.7158186670003488,True,
DeepSeek (deepseek-flash),nota_06,1,4.201912042000004,True,
DeepSeek (deepseek-flash),nota_07,1,1.764322916999845,True,
DeepSeek (deepseek-flash),nota_08,1,1.3618982500001948,True,
DeepSeek (deepseek-flash),nota_09,1,1.4838457910000216,True,
DeepSeek (deepseek-flash),nota_10,1,1.5978618749995803,True,
DeepSeek (deepseek-flash),nota_11,1,2.0447661250000237,True,
DeepSeek (deepseek-flash),nota_12,1,1.5370901249998496,True,
DeepSeek (deepseek-flash),nota_13,1,1.4206654159997925,True,
DeepSeek (deepseek-flash),nota_14,1,1.351756916999875,True,
DeepSeek (deepseek-flash),nota_15,1,1.303556583000045,True,
DeepSeek (deepseek-flash),nota_16,1,0.8919309580001027,True,
DeepSeek (deepseek-flash),nota_17,1,1.2759932499998285,True,
DeepSeek (deepseek-flash),nota_18,1,1.4800638749998143,True,
DeepSeek (deepseek-flash),nota_19,1,1.3552867080002216,True,
DeepSeek (deepseek-flash),nota_20,1,1.5133952090000093,True,
Donut (CORD-v2),nota_01,1,2.5385583340002995,True,
Donut (CORD-v2),nota_01,2,1.3797289580002143,True,
Donut (CORD-v2),nota_01,3,1.3691256669999348,True,
Donut (CORD-v2),nota_02,1,2.7776237910002237,True,
Donut (CORD-v2),nota_02,2,2.058734917000038,True,
Donut (CORD-v2),nota_02,3,2.039326415999767,True,
Donut (CORD-v2),nota_03,1,1.4000431250001384,True,
Donut (CORD-v2),nota_03,2,1.37884350000013,True,
Donut (CORD-v2),nota_03,3,1.3534576669999296,True,
Donut (CORD-v2),nota_04,1,3.8582576660000996,True,
Donut (CORD-v2),nota_04,2,2.9778064160000213,True,
Donut (CORD-v2),nota_04,3,2.953137040999991,True,
Donut (CORD-v2),nota_05,1,1.728112499999952,True,
Donut (CORD-v2),nota_05,2,1.6997376250001253,True,
Donut (CORD-v2),nota_05,3,1.7041015419999894,True,
Donut (CORD-v2),nota_06,1,3.3777016250000997,True,
Donut (CORD-v2),nota_06,2,3.16875354099966,True,
Donut (CORD-v2),nota_06,3,3.179913041999953,True,
Donut (CORD-v2),nota_07,1,2.2483329169999706,True,
Donut (CORD-v2),nota_07,2,2.249725416000274,True,
Donut (CORD-v2),nota_07,3,2.2466571250001834,True,
Donut (CORD-v2),nota_08,1,1.5717243750000307,True,
Donut (CORD-v2),nota_08,2,1.6104806250000365,True,
Donut (CORD-v2),nota_08,3,1.6200426670002344,True,
Donut (CORD-v2),nota_09,1,0.9973789169998781,True,
Donut (CORD-v2),nota_09,2,0.9749483340001461,True,
Donut (CORD-v2),nota_09,3,0.9797360409997964,True,
Donut (CORD-v2),nota_10,1,1.249080375000176,True,
Donut (CORD-v2),nota_10,2,1.2660775829999693,True,
Donut (CORD-v2),nota_10,3,1.2494721250000111,True,
Donut (CORD-v2),nota_11,1,8.863811458000328,True,
Donut (CORD-v2),nota_11,2,5.603605834000064,True,
Donut (CORD-v2),nota_11,3,5.599667250000039,True,
Donut (CORD-v2),nota_12,1,1.4577268749999348,True,
Donut (CORD-v2),nota_12,2,1.4039353329999358,True,
Donut (CORD-v2),nota_12,3,1.4125259580000602,True,
Donut (CORD-v2),nota_13,1,1.9645411249998688,True,
Donut (CORD-v2),nota_13,2,1.932509416999892,True,
Donut (CORD-v2),nota_13,3,1.9329845000002024,True,
Donut (CORD-v2),nota_14,1,0.23763791700002912,True,
Donut (CORD-v2),nota_14,2,0.21669462499994552,True,
Donut (CORD-v2),nota_14,3,0.21153416700008165,True,
Donut (CORD-v2),nota_15,1,1.9008175000003575,True,
Donut (CORD-v2),nota_15,2,1.9654587499999252,True,
Donut (CORD-v2),nota_15,3,1.9243288329998904,True,
Donut (CORD-v2),nota_16,1,1.3525620000000345,True,
Donut (CORD-v2),nota_16,2,1.3483417080001345,True,
Donut (CORD-v2),nota_16,3,1.3831786249998004,True,
